iter	Passed	Remaining
402	11725	17370
403	11741	17322
404	11771	17293
405	11801	17266
406	11822	17224
407	11842	17183
408	11859	17137
409	11893	17114
410	11923	17088
411	11944	17046
412	11974	17019
413	12003	16990
414	12034	16963
415	12059	16929
416	12093	16907
417	12124	16880
418	12154	16853
419	12184	16825
420	12213	16797
421	12230	16751
422	12260	16723
423	12290	16696
424	12322	16671
425	12353	16644
426	12383	16617
427	12396	16567
428	12422	16533
429	12453	16507
430	12482	16478
431	12513	16452
432	12533	16412
433	12564	16385
434	12582	16343
435	12598	16297
436	12632	16274
437	12662	16246
438	12693	16220
439	12722	16192
440	12752	16164
441	12781	16135
442	12810	16106
443	12834	16072
444	12867	16048
445	12893	16015
446	12923	15987
447	12953	15960
448	12985	15935
449	13014	15906
450	13046	15881
451	13078	15855
452	13098	15816
453	13128	15788
454	13157	15760
455	13182	15726
456	13206	15691
457	13218	15642
458	13247	15614
459	13282	15592
460	13308	15560
461	13324	15516
462	13355	15489
463	13375	15451
464	13407	15425
465	13436	15397
466	13466	15369
467	13495	15340
468	13525	15313
469	13555	15285
470	13586	15259
471	13611	15226
472	13642	15200
473	13672	15172
474	13701	15144
475	13731	15115
476	13765	15092
477	13795	15065
478	13826	15038
479	13857	15012
480	13888	14985
481	13917	14957
482	13949	14930
483	13979	14903
484	14003	14869
485	14027	14835
486	14058	14809
487	14088	14781
488	14113	14748
489	14139	14716
490	14169	14688
491	14199	14661
492	14229	14633
493	14255	14602
494	14286	14575
495	14316	14547
496	14341	14514
497	14361	14477
498	14394	14451
499	14423	14423
500	14453	14395
501	14483	14368
502	14513	14340
503	14530	14299
504	14561	14273
505	14594	14248
506	14626	14222
507	14657	14195
508	14686	14166
509	14706	14129
510	14736	14102
511	14766	14074
512	14796	14046
513	14827	14019
514	14857	13992
515	14877	13954
516	14907	13926
517	14926	13889
518	14956	13861
519	14981	13829
520	15012	13802
521	15034	13767
522	15063	13738
523	15093	13710
524	15126	13686
525	15152	13654
526	15182	13626
527	15212	13599
528	15246	13575
529	15280	13550
530	15309	13522
531	15341	13496
532	15367	13464
533	15398	13437
534	15428	13409
535	15452	13376
536	15473	13341
537	15489	13301
538	15521	13275
539	15554	13249
540	15579	13217
541	15609	13190
542	15629	13153
543	15658	13125
544	15687	13096
545	15717	13069
546	15747	13041
547	15772	13009
548	15802	12981
549	15833	12954
550	15863	12927
551	15893	12899
552	15922	12870
553	15944	12835
554	15976	12809
555	16000	12777
556	16013	12736
557	16043	12708
558	16069	12677
559	16099	12649
560	16128	12621
561	16159	12593
562	16189	12566
563	16220	12539
564	16250	12511
565	16279	12482
566	16312	12457
567	16342	12429
568	16373	12402
569	16402	12374
570	16433	12346
571	16463	12319
572	16495	12292
573	16517	12258
574	16548	12231
575	16583	12207
576	16603	12171
577	16633	12144
578	16662	12115
579	16694	12088
580	16727	12063
581	16757	12035
582	16781	12003
583	16812	11975
584	16845	11950
585	16876	11922
586	16895	11887
587	16925	11859
588	16953	11830
589	16983	11801
590	17015	11775
591	17044	11746
592	17069	11715
593	17086	11678
594	17102	11641
595	17126	11609
596	17156	11581
597	17186	11553
598	17221	11529
599	17256	11504
600	17286	11476
601	17318	11449
602	17348	11421
603	17372	11389
604	17403	11362
605	17433	11334
606	17463	11306
607	17483	11272
608	17513	11244
609	17543	11216
610	17573	11188
611	17593	11154
612	17623	11125
613	17652	11097
614	17682	11069
615	17712	11041
616	17743	11014
617	17772	10985
618	17799	10956
619	17832	10929
620	17848	10892
621	17877	10864
622	17907	10836
623	17936	10807
624	17967	10780
625	17997	10752
626	18019	10719
627	18049	10691
628	18061	10652
629	18091	10625
630	18107	10588
631	18137	10561
632	18166	10532
633	18197	10505
634	18227	10477
635	18259	10450
636	18292	10424
637	18322	10396
638	18354	10369
639	18384	10341
640	18413	10312
641	18443	10284
642	18475	10257
643	18492	10222
644	18522	10194
645	18554	10167
646	18578	10136
647	18607	10107
648	18637	10079
649	18669	10052
650	18700	10025
651	18729	9996
652	18748	9962
653	18781	9936
654	18814	9909
655	18843	9881
656	18872	9852
657	18902	9824
658	18932	9796
659	18961	9768
660	18978	9733
661	18998	9700
662	19028	9672
663	19058	9643
664	19087	9615
665	19117	9587
666	19146	9559
667	19179	9532
668	19205	9502
669	19237	9475
670	19268	9447
671	19289	9415
672	19325	9390
673	19360	9364
674	19390	9336
675	19421	9308
676	19450	9279
677	19480	9251
678	19511	9223
679	19541	9196
680	19571	9167
681	19602	9140
682	19632	9111
683	19662	9083
684	19683	9051
685	19712	9023
686	19745	8995
687	19775	8967
688	19806	8940
689	19838	8912
690	19869	8885
691	19900	8857
692	19931	8829
693	19965	8803
694	19997	8775
695	20028	8747
696	20057	8719
697	20090	8692
698	20121	8664
699	20152	8636
700	20183	8608
701	20212	8580
702	20232	8547
703	20264	8520
704	20295	8492
705	20328	8465
706	20348	8433
707	20381	8406
708	20413	8378
709	20438	8347
710	20470	8320
711	20507	8295
712	20539	8267
713	20570	8239
714	20604	8212
715	20634	8184
716	20666	8157
717	20696	8128
718	20731	8102
719	20764	8075
720	20792	8046
721	20830	8020
722	20863	7993
723	20893	7965
724	20924	7936
725	20955	7908
726	20985	7880
727	21015	7852
728	21045	7823
729	21077	7795
730	21108	7767
731	21138	7739
732	21169	7711
733	21200	7682
734	21219	7650
735	21237	7617
736	21270	7590
737	21302	7562
738	21333	7534
739	21364	7506
740	21397	7479
741	21429	7451
742	21459	7422
743	21489	7394
744	21519	7365
745	21550	7337
746	21581	7309
747	21612	7281
748	21642	7252
749	21672	7224
750	21702	7195
751	21735	7168
752	21765	7139
753	21798	7111
754	21829	7083
755	21850	7052
756	21881	7024
757	21913	6996
758	21939	6966
759	21971	6938
760	22002	6910
761	22034	6882
762	22064	6853
763	22093	6824
764	22150	6804
765	22186	6777
