iter	Logloss
0	0.6846885099
1	0.6748507872
2	0.6671552886
3	0.6586220494
4	0.6506748063
5	0.6430028167
6	0.6344698691
7	0.6267428809
8	0.6193930406
9	0.6127268103
10	0.6059183755
11	0.5993194468
12	0.5956528407
13	0.5894732348
14	0.5827860673
15	0.579533838
16	0.5740911394
17	0.569493922
18	0.5643907153
19	0.5600167823
20	0.5559932777
21	0.5511788033
22	0.5474477993
23	0.5442248603
24	0.5416344777
25	0.5370896112
26	0.5334088277
27	0.5298024678
28	0.52660753
29	0.5231145382
30	0.5208961181
31	0.5178477445
32	0.5145480799
33	0.5105580144
34	0.5072637516
35	0.5050392561
36	0.5025703964
37	0.4993763063
38	0.4961849066
39	0.4931906293
40	0.4895949588
41	0.4872334515
42	0.4853988578
43	0.4827040056
44	0.4815944855
45	0.4797028437
46	0.4776517375
47	0.4760190077
48	0.4741229767
49	0.4719351846
50	0.4695385575
51	0.4667783952
52	0.4649540999
53	0.4632312795
54	0.4612350686
55	0.4596472454
56	0.4579058826
57	0.4565516968
58	0.4544095889
59	0.4528782844
60	0.451568325
61	0.4497618594
62	0.4494597905
63	0.4477780157
64	0.4465664683
65	0.4453403438
66	0.4436449364
67	0.4418233654
68	0.4414093038
69	0.4411691172
70	0.4405417544
71	0.4392536798
72	0.4382222749
73	0.4374848155
74	0.436546064
75	0.4360383349
76	0.4351228435
77	0.4342469575
78	0.4327700019
79	0.4312512901
80	0.430522008
81	0.4292453696
82	0.4285886695
83	0.4275490627
84	0.4268521477
85	0.425556259
86	0.424293621
87	0.4237361285
88	0.4231708717
89	0.4224505384
90	0.4219079294
91	0.421299359
92	0.4211317665
93	0.4204771135
94	0.4201003774
95	0.4192972672
96	0.4186842663
97	0.4181030682
98	0.4174191015
99	0.4168452642
100	0.4159856496
101	0.4156995807
102	0.4147733672
103	0.4144669505
104	0.4136200714
105	0.4129041421
106	0.4123373739
107	0.4120200311
108	0.4116268757
109	0.4108816187
110	0.4098717928
111	0.409042392
112	0.4082990505
113	0.4077602527
114	0.4072845305
115	0.4067460178
116	0.4063095632
117	0.4058544802
118	0.4053298057
119	0.4047839228
120	0.404703816
121	0.4044178139
122	0.4041393061
123	0.4037355513
124	0.403555149
125	0.4029426375
126	0.4025910249
127	0.402352848
128	0.4019552958
129	0.4014417158
130	0.4009292577
131	0.4004182588
132	0.4003060109
133	0.3999398425
134	0.3993971131
135	0.3987768675
136	0.3983439846
137	0.3979600833
138	0.3976553485
139	0.3974705302
140	0.397121275
141	0.3967146135
142	0.396325285
143	0.3962287435
144	0.3957483286
145	0.395411834
146	0.3949976584
147	0.3944883788
148	0.3939443431
149	0.3934771818
150	0.3930980407
151	0.392507751
152	0.3920508083
153	0.3917943925
154	0.3917341723
155	0.3916422864
156	0.391204808
157	0.3908030065
158	0.390379624
159	0.3897427339
160	0.3895590737
161	0.38936301
162	0.3890108681
163	0.3888152927
164	0.3882889221
165	0.3879182769
166	0.3878250732
167	0.3877366243
168	0.3876345192
169	0.3874154818
170	0.3873395714
171	0.387013948
172	0.3866802197
173	0.3863642833
174	0.3859042567
175	0.3855204314
176	0.385450836
177	0.3848288668
178	0.3846973944
179	0.384455344
180	0.3841307851
181	0.3837171503
182	0.3834485113
183	0.3834153186
184	0.38337079
185	0.3831678931
186	0.3827413533
187	0.3825133258
188	0.3823992866
189	0.3823720886
190	0.3818377496
191	0.381582899
192	0.3814450664
193	0.3812173757
194	0.3811924544
195	0.3808683793
196	0.3806246181
197	0.3805763932
198	0.3804434646
199	0.379835767
200	0.379610017
201	0.3793339452
202	0.3791158171
203	0.3789147482
204	0.3786718936
205	0.378419574
206	0.3782370132
207	0.3781908393
208	0.3776960796
209	0.3773522211
210	0.3772014217
211	0.3771797376
212	0.3768042706
213	0.3766149098
214	0.3765861142
215	0.3763303114
216	0.3762254545
217	0.3757305604
218	0.3754057848
219	0.3753889736
220	0.3753737874
221	0.3751954584
222	0.3749826766
223	0.3748877954
224	0.3744783895
225	0.3744164829
226	0.37428312
227	0.3739868172
228	0.3736943687
229	0.3735830569
230	0.3733923635
231	0.3733706855
232	0.3732339089
233	0.3730854599
234	0.3729836581
235	0.3728915729
236	0.3726071594
237	0.3724638949
238	0.3722695229
239	0.3722152407
240	0.3720069241
241	0.3719405745
242	0.3717187985
243	0.3714710715
244	0.371381982
245	0.3711824026
246	0.3709853586
247	0.3709082833
248	0.37079525
249	0.370763151
250	0.3707445523
251	0.3704330878
252	0.3702973545
253	0.3700348848
254	0.3698047748
255	0.3695942859
256	0.3694688889
257	0.3692885706
258	0.3691946739
259	0.3689994557
260	0.3688091403
261	0.3684200881
262	0.3682578906
263	0.3681215323
264	0.3680191652
265	0.3676070564
266	0.3673355504
267	0.3671270382
268	0.3669369262
269	0.36689413
270	0.3668055907
271	0.3667961101
272	0.3666698014
273	0.3665451637
274	0.3664161745
275	0.3663522342
276	0.3661726041
277	0.3660807062
278	0.3660095971
279	0.3656945835
280	0.3655250268
281	0.3654795832
282	0.365299674
283	0.3651213872
284	0.3646791846
285	0.3645863118
286	0.3645006494
287	0.3644327335
288	0.3641753862
289	0.3640389471
290	0.3637837405
291	0.3636064368
292	0.3633974404
293	0.36334733
294	0.3633202241
295	0.363244827
296	0.3631570126
297	0.3629327842
298	0.3626870091
299	0.3624781258
300	0.3623061673
301	0.3621954783
302	0.3620446184
303	0.3619843981
304	0.3619334049
305	0.3615073416
306	0.3614654594
307	0.3614257937
308	0.3611768253
309	0.3611699865
310	0.361114573
311	0.3609645273
312	0.360904972
313	0.3607311433
314	0.3603541028
315	0.3599524662
316	0.3597513369
317	0.3594422963
318	0.359346625
319	0.3592300463
320	0.3591024257
321	0.359056192
322	0.3590061862
323	0.3589422405
324	0.3589361651
325	0.3589146437
326	0.3585623791
327	0.3583875973
328	0.3580801776
329	0.3580449671
330	0.3578967907
331	0.3576335585
332	0.3575532765
333	0.3573902017
334	0.3573036938
335	0.35704886
336	0.3569478686
337	0.3568701011
338	0.3567493231
339	0.3566665694
340	0.356601264
341	0.3565989242
342	0.3565789008
343	0.3565213641
344	0.3564038318
345	0.3563508623
346	0.3561336849
347	0.355960709
348	0.3559379969
349	0.3556609805
350	0.3556560982
351	0.3554917684
352	0.3554246815
353	0.3553694762
354	0.3553442281
355	0.3551903438
356	0.355120856
357	0.3550685937
358	0.3549204933
359	0.3548616917
360	0.3547128402
361	0.3546310474
362	0.3544725091
363	0.3543182637
364	0.3542402665
365	0.3541697411
366	0.3539835345
367	0.3537538233
368	0.3535213332
369	0.35347548
370	0.3533690618
371	0.3532427619
372	0.3531026344
373	0.3530565403
374	0.3529540321
375	0.3527977713
376	0.3526852203
377	0.3525689815
378	0.3524369703
379	0.3523213803
380	0.3521724052
381	0.352154774
382	0.3520576808
383	0.3519777356
384	0.3519161282
385	0.3518526465
386	0.3516193253
387	0.3515522866
388	0.3514290063
389	0.3513756228
390	0.3513326984
391	0.3512192398
392	0.3511304827
393	0.3510570104
394	0.3510358887
395	0.3510042207
396	0.3509208269
397	0.3507330759
398	0.3506231595
399	0.3504262596
400	0.3502824733
401	0.3501779663
402	0.3501659367
403	0.3501570924
404	0.3500957827
405	0.3499721298
406	0.3499018638
407	0.3498820878
408	0.349867952
409	0.3497123196
410	0.3496511906
411	0.3496430296
412	0.3494299437
413	0.3492475031
414	0.3491338591
415	0.3490979281
416	0.3490368474
417	0.3486835823
418	0.3482356343
419	0.348084165
