Model,Accuracy,Precision,Recall,F1 Score
Random Forest (n=100),0.8268156424581006,0.7375,0.855072463768116,0.7919463087248322
Logistic Regression,0.8044692737430168,0.717948717948718,0.8115942028985508,0.7619047619047619
XGBoost,0.776536312849162,0.6835443037974683,0.782608695652174,0.7297297297297297
